--- TOP 10 NODES WITH HIGHEST INCOMING NEGATIVE EDGES ---
Node,Incoming Negative Count,Negative Ratio (%),Total Incoming
112,2608,27.99%,9316
97,807,25.68%,3142
229,563,26.14%,2154
95,462,27.07%,1707
314,263,4.43%,5942
147,261,99.62%,262
564,227,83.15%,273
448,179,26.64%,672
765,173,16.00%,1081
250,164,55.41%,296

--- TOP 10 NODES WITH HIGHEST INCOMING POSITIVE EDGES ---
Node,Incoming Positive Count,Positive Ratio (%),Total Incoming
112,6708,72.01%,9316
314,5679,95.57%,5942
97,2335,74.32%,3142
414,2298,98.00%,2345
380,1930,95.88%,2013
628,1846,95.50%,1933
220,1784,95.10%,1876
229,1591,73.86%,2154
456,1494,97.39%,1534
401,1415,96.52%,1466
